Complexity,Loss,Equation
1,96270.34,"304.54074"
3,29412.145,"TBP - 270.62198"
5,18582.012,"(TBP * TBP) * 0.0009359766"
7,2606.8945,"TBP * (-217.41063 / (TBP + -1153.5221))"
9,468.95062,"((TBP * -193.74408) / (TBP + -1147.9989)) / SG"
11,52.810688,"(((TBP * -237.23755) / (TBP + -1178.0468)) + -36.769745) / SG"
13,50.14024,"((((TBP * -241.34937) / (TBP + -1180.8073)) + -30.772058) / SG) - 10.692605"
15,46.712303,"((((TBP * -243.48859) / (TBP + -1182.0459)) + -32.35078) / SG) - (SG * 12.75027)"
17,43.373913,"((((TBP * -243.50438) / (TBP + -1181.9285)) + -33.63373) / SG) - ((SG * 12.750987) * SG)"
19,34.045227,"((((TBP * -171.99805) / (-844.64886 + (TBP * 0.7157302))) + -37.088295) / SG) - (SG / (1.416703 - SG))"
21,34.02023,"(((((TBP * -171.99805) / ((TBP * 0.7157302) + -844.64886)) + -37.088295) / SG) - (SG / (1.416703 - SG))) - 0.13474044"
23,34.00421,"((((((TBP * -171.99805) / ((TBP * 0.7157302) + -844.64886)) + -37.088295) / SG) - (SG / (1.416703 - SG))) - -0.67747915) - SG"
25,33.752472,"((((TBP / ((TBP * 0.7153027) + -844.32227)) * -172.18979) + -37.568176) / SG) - ((SG - ((SG / (SG + -1.4479376)) * 1.8861392)) - 1.790345)"
27,33.465233,"(((((-171.99805 * TBP) / ((TBP * 0.7157302) + -844.64886)) + -37.088295) / SG) - (SG / (1.416703 - SG))) - (0.12807956 / (1.416703 - (SG * SG)))"
29,33.433056,"((((TBP / (-844.38885 + (TBP * 0.71542495))) * -172.1203) + -37.313374) / SG) - (SG * (((0.71542495 - (SG / (SG + -1.4588711))) / (0.3783212 - -0.24074654)) - 1.4466252))"
