Complexity,Loss,Equation
1,96270.34,"304.55096"
3,29412.145,"TBP + -270.59854"
5,18582.01,"(TBP * TBP) * 0.0009359819"
7,2606.8845,"(TBP * -217.31314) / (TBP - 1153.438)"
9,468.98062,"(TBP * (-193.88962 / SG)) / (TBP - 1148.1691)"
11,52.847084,"((TBP * (-237.78265 / (TBP - 1178.4252))) + -37.093906) / SG"
13,43.86781,"(((TBP * -238.2065) / (TBP - 1179.8871)) - 38.61431) / (SG ^ 1.0686373)"
15,29.295807,"((TBP * (-237.60316 / (TBP - 1177.6129))) + -34.789085) / (SG ^ (SG + 0.13152155))"
17,26.495691,"((TBP * (-237.26666 / (TBP - 1177.8707))) + -35.51936) / (SG ^ ((SG + 0.15874018) ^ 0.733702))"
19,26.304316,"((((TBP * -237.36745) / (TBP - 1177.7488)) + -34.940315) / (SG ^ ((SG + 0.15276304) ^ 0.7299992))) - SG"
21,26.21686,"((((TBP * (-237.37054 / (TBP - 1177.7427))) + -34.19843) / (SG ^ ((0.14894599 + SG) ^ 0.7206023))) - SG) - SG"
23,26.069273,"(((SG ^ -2.2065597) + (((TBP / (TBP - 1177.9374)) * -237.803) - 36.387062)) / (SG ^ ((SG ^ 0.7155157) + 0.10786177))) - 1.3677604"
25,26.056202,"((((((TBP / (TBP - 1177.9376)) * -237.80302) + (SG ^ -2.206567)) - 36.387077) / (SG ^ ((SG ^ 0.71577674) + 0.10718872))) - SG) + -0.3930069"
27,25.997093,"(((SG ^ ((-0.9929447 / SG) / SG)) + (((TBP / (TBP - 1177.9376)) * -237.80302) - 36.38709)) / (SG ^ (0.10828194 + (SG ^ 0.73002213)))) - SG"
29,25.904327,"((SG ^ (((-0.98364925 / SG) / SG) / SG)) + (((TBP * (-237.80469 / (TBP - 1177.964))) - 36.3907) / (SG ^ ((SG ^ 0.73938465) + 0.11312941)))) - 1.0309308"
