Complexity,Loss,Equation
1,96270.34,"304.55124"
3,29412.145,"TBP - 270.62198"
5,18582.012,"(TBP * TBP) * 0.0009359766"
6,3897.2278,"exp(2.8107944 - (TBP * -0.004370324))"
7,2606.9197,"TBP * (-217.18741 / (TBP + -1153.4218))"
8,1687.2006,"exp(2.6615136 - (TBP * -0.004370324)) / SG"
9,468.97964,"((TBP / SG) * -193.85733) / (TBP + -1148.1492)"
10,365.02878,"((TBP * -535.737) / exp(SG)) / (TBP + -1149.169)"
11,52.853405,"(((TBP / (TBP + -1178.4111)) + 0.15568121) * -237.67868) / SG"
12,37.650215,"-46.495796 - ((663.8755 / (TBP + -1180.7463)) * (TBP / exp(SG)))"
14,35.424194,"(((0.10490391 - (627.01434 / (TBP + -1174.2556))) * TBP) / exp(SG)) - 58.558617"
16,26.823254,"((38.151016 / exp(SG)) - 1.388191) * (-2.84089 - ((TBP * 18.76065) / (TBP + -1178.0085)))"
18,26.643635,"(((33.046566 / exp(SG)) - 1.0883806) * (-2.8598607 - ((TBP * 21.505774) / (TBP + -1178.2927)))) - 5.6616287"
19,26.638777,"((-3.0943131 - ((TBP * 21.462294) / (TBP + -1178.2704))) * ((33.040306 / exp(SG)) - 1.0662485)) - exp(SG)"
21,26.610334,"(((-3.0422497 - ((TBP * 21.470907) / (TBP + -1178.267))) * ((33.041073 / exp(SG)) - 1.0669262)) - exp(SG)) - SG"
23,26.607424,"((((-3.1657596 - ((21.504454 * TBP) / (-1178.1763 + TBP))) * ((33.07331 / exp(SG)) - 1.107166)) - exp(SG)) - -1.6706659) - SG"
24,26.310131,"(((26.680664 / exp(SG)) - 0.9684367) * (-4.093946 - ((26.851944 / (TBP + -1178.2384)) * TBP))) + (26.680664 / (TBP - (TBP * SG)))"
25,26.233232,"((26.453737 / exp(SG)) - 0.81113636) * ((-3.3337266 - ((TBP / (TBP + -1178.5184)) * 26.75401)) - ((SG / (TBP * log(SG))) + SG))"
26,25.75447,"((26.453737 / exp(SG)) - 0.81113636) * ((-3.3337266 - ((TBP / (TBP + -1178.5184)) * 26.75401)) - ((exp(SG) / (TBP * log(SG))) + SG))"
27,25.749155,"((26.453737 / exp(SG)) - 0.81113636) * ((-3.3337266 - ((TBP / (TBP + -1178.5184)) * 26.75401)) - (SG + (((2.829122 - 0.002729681) / TBP) / log(SG))))"
28,23.802717,"((-3.3509827 - ((TBP / (TBP + -1178.5331)) * 26.756533)) - SG) * (((26.45906 / exp(SG)) - 0.8117188) + (SG / (TBP - ((TBP * SG) - 26.45906))))"
30,19.819279,"(((-3.3509827 - ((TBP / (TBP + -1178.5331)) * 26.756533)) - SG) * (((26.45906 / exp(SG)) - 0.8117188) + (SG / (TBP - (SG * (SG - -1178.5331)))))) + SG"
