Complexity,Loss,Equation
1,96270.34,"304.54074"
3,29412.145,"TBP + -270.62198"
5,18582.01,"(TBP * TBP) * 0.00093600777"
6,16584.525,"TBP * (log(TBP) + -5.8921685)"
7,2606.8809,"830.30756 / ((4407.6484 / TBP) + -3.8213634)"
9,469.05508,"748.5048 / (((4430.1235 / TBP) + -3.8578951) * SG)"
11,52.826107,"((886.26276 / ((4395.7026 / TBP) + -3.7308798)) + -36.959) / SG"
13,49.031113,"(((897.23016 / ((4390.7905 / TBP) + -3.7193837)) + -24.813124) / SG) + -17.993006"
15,45.01422,"(((898.1733 / ((4393.312 / TBP) + -3.7212038)) + -30.123022) / SG) - exp(exp(SG))"
16,42.910164,"(((896.2533 / ((4391.2754 / TBP) + -3.720391)) + -34.95461) / SG) - exp(SG + SG)"
17,32.394733,"(((897.02075 / ((4415.0024 / TBP) + -3.7427928)) + -46.890533) / SG) - (exp(exp(SG)) - 21.313414)"
19,27.366905,"((SG + ((-1.2548198 / SG) + -1.8260431)) * (-471.4578 / ((4880.9653 / TBP) + -4.1444764))) + (-35.30581 / SG)"
21,27.283524,"((((SG + (-1.2626771 / SG)) + -1.8289514) * -470.64368) / ((4880.8486 / TBP) + -4.1428885)) + ((-34.4618 / SG) - 2.0310214)"
23,27.240902,"(((-471.45782 / ((4880.966 / TBP) + -4.144282)) * ((-1.2603471 / SG) + (SG + -1.8226829))) + ((-35.306637 / SG) + -0.7552034)) + 0.13701412"
27,22.993692,"((((SG + ((-1.3976619 / SG) + -1.8239566)) * (SG * (-440.0257 / ((4884.671 / TBP) + -4.151546)))) + -35.699333) / SG) - (-0.16713151 / (1.0324123 - SG))"
29,22.950418,"((((((SG * (((-1.4020038 / SG) + -1.8279015) + SG)) * -440.02573) / ((4884.671 / TBP) + -4.1491165)) + -35.69929) / SG) - (-0.16746219 / (1.0311222 - SG))) - SG"
