Complexity,Loss,Equation
1,96270.34,"304.5473"
3,29412.146,"TBP + -270.61478"
4,18917.447,"exp(TBP * 0.007348911)"
6,4733.4434,"exp(TBP * 0.007168428) + 132.95667"
8,811.7516,"exp((TBP * 0.0044266437) - (SG + -3.6783504))"
10,786.707,"exp(((TBP + 2.0629961) * 0.0044266437) - (SG + -3.6783504))"
12,741.19684,"exp((TBP * 0.006693672) + (1.3376173 - SG)) + (TBP * 0.21966952)"
14,544.8928,"exp((TBP * 0.0059487335) + (1.41218 - (SG + -0.6626415))) + (TBP * 0.17939937)"
16,315.42856,"(TBP * 0.17939937) + exp((TBP * 0.0059487335) + (1.41218 - (SG * (SG + -0.6626415))))"
18,262.8835,"(TBP * 0.18046975) + exp(((0.0059487335 * TBP) + 1.4148104) - (((SG + -0.6842919) * SG) * 1.1802827))"
20,254.97902,"(TBP * 0.18752012) + exp(((TBP * 0.0059487335) + 1.4148104) - ((SG + -0.1607499) * ((SG + -0.6698969) * 1.3410326)))"
22,252.77486,"((TBP * 0.18046975) + (0.0059487335 * TBP)) + exp(((0.0059487335 * TBP) + 1.4148104) - (((SG + -0.6842919) * SG) * 1.1802827))"
24,251.79361,"((TBP * 0.0059487335) + (exp(((TBP * 0.0059487335) + 1.4148104) - (((SG + -0.6842919) * SG) * 1.1802827)) + (TBP * 0.18046975))) - 0.8784544"
26,251.7758,"(TBP * 0.18046975) + ((((0.0059487335 * TBP) + exp(((0.0059487335 * TBP) + 1.4148104) - ((SG + -0.6842919) * (SG * 1.1802827)))) - 2.060865) + SG)"
28,251.30081,"(((TBP + TBP) * 0.0059487335) + exp(((0.0059487335 * TBP) + 1.4148104) - (1.3410326 * ((SG + -0.1607499) * (SG + -0.6698969))))) + ((0.17939937 * TBP) - 3.2785428)"
30,251.15698,"((((TBP * 0.17939937) + ((TBP + TBP) * 0.0059487335)) - SG) + exp(((TBP * 0.0059487335) + 1.4148104) - (((SG + -0.1607499) * (SG + -0.6698969)) * 1.3410326))) - 2.8071256"
