Complexity,Loss,Equation
1,96270.34,"304.5473"
3,29412.145,"TBP + -270.62198"
4,19047.51,"exp(TBP * 0.007366022)"
5,18582.01,"(TBP * 0.00093600526) * TBP"
6,3886.4736,"exp((TBP * 0.0043909005) + 2.7921298)"
8,1020.25146,"exp(((TBP * 0.0043909005) - SG) + 3.6901286)"
9,643.797,"exp(((TBP * 0.0045937384) - log(SG)) + 2.5351996)"
11,567.1264,"exp(((TBP * 0.0047712135) + 2.3448339) - log(SG)) + 17.549309"
13,527.58685,"exp((((TBP + -12.76628) * 0.00499436) + 2.1848981) - log(SG)) + 32.37504"
15,436.5196,"exp((((TBP - exp(exp(SG))) * 0.00499436) - log(SG)) + 2.1848981) + 32.327606"
17,435.36765,"(exp(((0.00499436 * (TBP - exp(exp(SG)))) - log(SG)) + 2.1848981) + 31.42098) + SG"
18,434.42148,"exp(SG) + (29.347382 + exp(((TBP - exp(exp(SG))) * 0.00499436) + (2.1848981 - log(SG))))"
19,418.84708,"(exp((((TBP - exp(exp(SG))) * 0.00499436) - log(SG)) + 2.1848981) + 4.1848574) + (SG * 31.302795)"
23,416.6631,"((exp(exp(0.35870376)) + exp((((TBP - exp(exp(SG))) * 0.00499436) - log(SG)) + 2.1848981)) + (31.302795 * SG)) + SG"
25,355.16373,"(((((TBP + (TBP - (SG * 1541.6462))) * ((TBP + -529.2721) * -3.9623305e-6)) * TBP) - TBP) * (0.6186063 - (TBP * 0.0012099674))) + 175.64871"
27,353.76633,"(((((((TBP + TBP) - (SG * 1541.6462)) * TBP) * ((TBP + -529.2721) * -3.955624e-6)) - TBP) * (0.6181852 - (TBP * 0.0012101847))) + 176.19032) - SG"
28,351.61923,"((0.61904925 - (TBP * 0.0012120433)) * (((TBP * (TBP + (TBP - (SG * 1541.6462)))) * ((TBP + -529.2721) * -3.943572e-6)) - TBP)) + (177.52126 - exp(SG))"
29,351.06116,"(((0.6150047 - (TBP * 0.0012202846)) * ((((TBP + -540.74695) * (-3.976446e-6 * (TBP + (TBP - (SG * 1553.1085))))) * TBP) - TBP)) + 175.72462) - (SG * 5.44427)"
30,338.78836,"(((0.61676145 - (0.0012174862 * TBP)) * ((TBP * ((((TBP - (SG * 1541.6462)) + TBP) * (TBP + -529.2721)) * -3.860983e-6)) - TBP)) + 177.52126) - exp(SG + SG)"
